Viem kupit v Auparku aj sladkosti na narodeniny?,navrh_obchodov
Kde kupim pohladnicu na narodeniny mame?,navrh_obchodov
Kde kupim pohladnicu na narodeniny?,navrh_obchodov
Predavate v Auparku knizky na narodeniny?,navrh_obchodov
V ktorom obchode kupim nejake darceky na narodeniny?,navrh_obchodov
Predavaju v Auparku nejake kvety na narodeniny?,navrh_obchodov
vdaka krasne,podakovanie
"vdaka za pomoc, mas to u mna",podakovanie
diki,podakovanie
som ti zaviazany,podakovanie
dik,podakovanie
dakujem velmi pekne za radu,podakovanie
dakujem pekne,podakovanie
dovi,pozdravy_ukoncenie
dovidenia,pozdravy_ukoncenie
maj sa,pozdravy_ukoncenie
pekny den,pozdravy_ukoncenie
zbohom,pozdravy_ukoncenie
dobre rano,pozdravy_uvitanie
zdravim,pozdravy_uvitanie
ahoj,pozdravy_uvitanie
dobry den,pozdravy_uvitanie
cau,pozdravy_uvitanie
